sentence,label
I love this movie!,2
This book is so boring.,0
The weather today is okay.,1
I had a terrible experience at the restaurant.,0
The new album is fantastic!,2
I'm feeling indifferent about the outcome.,1
I can't stand this traffic.,0
Today was a mediocre day.,1
She was thrilled with her promotion.,2
The customer service was appalling.,0
The sunset was breathtaking.,2
The meeting was uneventful.,1
I'm ecstatic about the news!,2
The food was tasteless.,0
We had a pleasant conversation.,2
The movie was just okay.,1
I dislike waiting for too long.,0
The party was so much fun!,2
He seemed indifferent to my proposal.,1
The concert was amazing!,2
I'm not happy with the results.,0
Today's lunch was decent.,1
She's excited about her upcoming trip.,2
The service at the hotel was terrible.,0
The view from the top was breathtaking.,2
I'm okay with whatever you decide.,1
I absolutely adore this song!,2
The traffic made me furious.,0
The movie was average.,1
His response was lukewarm.,1
Her smile brightened my day.,2
The presentation was dull.,0
I'm content with how things are going.,1
The food at the restaurant was delicious!,2
The game was disappointing.,0
I'm neutral about the situation.,1
The play was outstanding!,2
The hotel room was dirty.,0
I'm thrilled to be here.,2
The service at the restaurant was excellent.,2
The class was boring.,0
I'm feeling optimistic about the future.,2
The movie plot was confusing.,0
I have mixed feelings about this decision.,1
The cake was delicious.,2
I'm frustrated with the delay.,0
The performance was outstanding.,2
I'm indifferent to his opinion.,1
The weather ruined our plans.,0
The book was captivating.,2
I'm satisfied with the outcome.,2
The customer service was superb!,2
The wait was unbearable.,0
I'm ambivalent about the issue.,1
The food was too salty.,0
The vacation was relaxing.,2
I'm not impressed with the service.,0
The experience was unforgettable.,2
The presentation was underwhelming.,0
I'm feeling positive about the future.,2
The movie was a letdown.,0
I'm apathetic towards the matter.,1
The food poisoning ruined our trip.,0
The music was uplifting.,2
I'm not convinced by his argument.,0
The party was a disaster.,0
The concert was electrifying!,2
I'm indifferent to her opinion.,1
The hotel was disappointing.,0
I'm thrilled with the results.,2
The movie was enjoyable.,2
I'm feeling optimistic about the outcome.,2
The food was awful.,0
The lecture was informative.,1
I'm ambivalent about attending the event.,1
The service at the restaurant was terrible.,0
The beach was crowded.,0
I'm ecstatic about the news.,2
The food was mediocre.,0
I'm indifferent to his proposal.,1
The weather is perfect for a picnic.,2
I'm disappointed with the quality.,0
The performance was lackluster.,0
I'm indifferent towards his attitude.,1
The play was superb!,2
The dinner was delicious.,2
I'm feeling indifferent about the situation.,1
The movie was thrilling!,2
I'm okay with the decision.,1
The traffic was unbearable.,0
The book was a page-turner.,2
The meeting was productive.,2
I'm indifferent to their complaints.,1
The food was tasteless and bland.,0
The movie was a masterpiece!,2
I'm feeling hopeful about the future.,2
The service was excellent.,2
The class was engaging.,2
I'm indifferent towards her opinion.,1
The food was disgusting.,0
The party was enjoyable.,2
I'm unsatisfied with the service.,0
The presentation was captivating.,2
The concert was disappointing.,0
I'm feeling indifferent about the outcome.,1
The weather is awful.,0
The food was fantastic!,2
I'm feeling pessimistic about the outcome.,0
The customer service was rude.,0
The play was terrible.,0
I'm indifferent to his comments.,1
The hotel was excellent!,2
The movie was phenomenal!,2
I'm content with my decision.,2
The food was divine!,2
I'm neutral about the situation.,1
The service at the restaurant was slow.,0
The lecture was boring.,0
I'm indifferent towards this issue.,1
The weather is gloomy.,0
The food was satisfactory.,1
I'm thrilled with the news.,2
The concert was incredible!,2
I'm indifferent to his suggestion.,1
The hotel room was clean.,2
The movie was entertaining.,2
I'm feeling optimistic about the situation.,2
The traffic was terrible.,0
The book was disappointing.,0
I'm ambivalent about the decision.,1
The presentation was excellent.,2
The service was outstanding.,2
I'm indifferent towards her comments.,1
The weather is beautiful.,2
The food was terrible.,0
I'm ecstatic about the results!,2
The play was phenomenal!,2
I'm satisfied with the service.,2
The food was amazing!,2
I'm indifferent to her attitude.,1
The traffic was frustrating.,0
The movie was boring.,0
I'm feeling indifferent about this matter.,1
The concert was spectacular!,2
The hotel was awful.,0
The movie was captivating!,2
I'm thrilled with his performance.,2
The weather is perfect.,2
I'm indifferent towards their complaints.,1
The food was excellent!,2
The party was fantastic!,2
I'm unsatisfied with the quality.,0
The presentation was dreadful.,0
I'm indifferent to the situation.,1
The book was fascinating.,2
The traffic was unbearable.,0
I'm ecstatic about the news.,2
The concert was amazing!,2
I'm indifferent to his proposal.,1
The hotel was disappointing.,0
I'm thrilled with the results.,2
The movie was enjoyable.,2
I'm feeling optimistic about the outcome.,2
The food was awful.,0
The lecture was informative.,1
I'm ambivalent about attending the event.,1
The service at the restaurant was terrible.,0
The beach was crowded.,0
I'm ecstatic about the news.,2
The food was mediocre.,0
I'm indifferent to his proposal.,1
The weather is perfect for a picnic.,2
I'm disappointed with the quality.,0
The performance was lackluster.,0
I'm indifferent towards his attitude.,1
The play was superb!,2
The dinner was delicious.,2
I'm feeling indifferent about the situation.,1
The movie was thrilling!,2
I'm okay with the decision.,1
The traffic was unbearable.,0
The hike was invigorating.,2
I'm indifferent to the latest fashion trends.,1
The pizza was disappointing.,0
I'm thrilled about the upcoming event!,2
The traffic was surprisingly light.,2
The service at the hotel was top-notch.,2
I'm feeling uncertain about my future.,1
The sunset was mesmerizing.,2
The presentation was underwhelming.,0
I'm ecstatic about my new job.,2
The food at the restaurant was exquisite!,2
The movie left me feeling indifferent.,1
The customer service was horrendous.,0
I'm satisfied with my progress.,2
The weather forecast is dismal.,0
The play was riveting!,2
The traffic made me late.,0
I'm neutral about the situation.,1
The food was bland and tasteless.,0
The concert was a letdown.,0
I'm excited to see where this goes!,2
The movie had me on the edge of my seat.,2
I'm indifferent to his opinion on the matter.,1
The hotel room was spacious and comfortable.,2
The food was undercooked.,0
The experience was unforgettable.,2
I'm feeling indifferent towards her attitude.,1
The presentation was captivating.,2
I'm apathetic towards the outcome.,1
The weather is perfect for a picnic.,2
The service at the restaurant was abysmal.,0
The book was a real page-turner.,2
I'm disappointed with the service.,0
The traffic was unbearable.,0
